               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.047663,             0.04709,                   0,             0.35146,             0.35294,              0.3282,              0.1102,            0.061993,            0.026558,                   0,            0.006436,            0.006436,            0.006436
                  56,             0.04754,            0.053717,                   0,             0.36304,             0.32353,             0.26638,             0.08967,             0.06228,            0.027269,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.047075,              0.0557,                   0,             0.38925,             0.24397,             0.25574,            0.086595,             0.06314,            0.027433,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.047808,            0.050858,                   0,             0.39617,             0.29412,             0.29851,              0.1067,            0.062841,            0.026421,                   0,            0.006238,            0.006238,            0.006238
                  59,             0.04718,            0.047542,                   0,             0.44717,             0.32353,             0.39897,             0.12718,            0.061775,            0.027118,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.047784,            0.049992,                   0,             0.29044,             0.32353,             0.29399,             0.12396,            0.062934,            0.026474,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.045132,            0.052071,                   0,             0.20985,             0.29412,              0.1702,               0.061,            0.065547,            0.027019,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.045119,            0.048284,                   0,             0.18314,             0.36937,             0.16195,             0.04762,            0.066264,             0.03035,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.046458,             0.05151,                   0,             0.19302,             0.47059,             0.18647,            0.072138,            0.066749,            0.027662,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.045303,            0.046541,                   0,              0.5181,             0.44118,             0.40306,             0.14644,            0.066084,            0.026093,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.046507,            0.046817,                   0,             0.53414,             0.38235,             0.38484,             0.16672,            0.066013,            0.025779,                   0,            0.005776,            0.005776,            0.005776
